URL,"ROOT DOMAIN",PR,"MOZ Rank",Authority,Alexa
http://matadornetwork.com/nights/know-before-partying-brazil/,matadornetwork.com,6,6.08876002107,74.0617481149,6302
http://www.adrianstraveltales.com/the-perfect-day-in-brasov-because-of-tinder/,adrianstraveltales.com,,3.13276387146,24.1748579543,927293
sportsinjuryanalyst.com,sportsinjuryanalyst.com,0,2.32860993988,16.1893135353,2997306
http://tbexcon.com/us/2014/07/16/cancun-your-jumping-off-point-for-latin-america/,tbexcon.com,5,5.24825178043,54.9470294216,81672
http://matadornetwork.com/notebook/trip-macedonia-12-encounters/,matadornetwork.com,6,6.08876002107,74.0617481149,6302
http://matadornetwork.com/life/8-simple-ways-moment-travel/,matadornetwork.com,6,6.08876002107,74.0617481149,6302
http://www.examiner.com/list/bill-t-jones-arnie-zane-dance-company-at-columbia-college-chicago,examiner.com,8,7.38291155452,92.8520596831,1091
http://listverse.com/2014/06/07/10-mythologies-centered-around-the-glory-of-beer/,listverse.com,6,5.96907510196,75.3145864742,3805
http://canucksandbeyond.com/why-you-should-visit-new-zealand/,canucksandbeyond.com,3,3.6563312954,29.2884715056,4250272
http://departmentofwandering.com/lake-garda-italy/,departmentofwandering.com,,2.36327903062,13.7913542624,3723346
www.letterstomyfriendsbackhome.com,letterstomyfriendsbackhome.com,2,2.92674447064,19.3997145585,5109125
http://www.bbc.com/travel/feature/20141020-irelands-last-seaweed-spas,bbc.com,9,7.40672287401,94.5104610913,161
http://matadornetwork.com/bnt/changing-jobs-often-can-actually-good-thing/,matadornetwork.com,6,6.08876002107,74.0617481149,6302
http://www.endlesslychanginghorizon.com/why-we-chose-to-move-to-the-uk/,endlesslychanginghorizon.com,2,3.45912433275,25.9598777778,958706
http://myblackjourney.com/topiary-gardens-by-a-man-named-pearl/,myblackjourney.com,3,4.4393665308,29.5472944867,1808007
http://www.nakedmadrid.com/2014/11/28/madrids-best-christmas-markets-2014/,nakedmadrid.com,,3.5600845234,17.1061060899,1196286
http://www.aworldtotravel.com/yala-national-park-wildlife-nature/,aworldtotravel.com,0,4.54785422489,36.9159287024,622984
http://matadornetwork.com/abroad/10-things-miss-terribly-galicia-spain/,matadornetwork.com,6,6.08876002107,74.0617481149,6302
http://bbc.com/travel/feature/20140821-cycling-detroit-makes-too-much-sense-to-ignore/,bbc.com,9,7.40672287401,94.5104610913,161
http://matadornetwork.com/life/7-things-small-town-life-taught-survive-big-city/,matadornetwork.com,6,6.08876002107,74.0617481149,6302
http://greece.greekreporter.com/2014/04/13/why-greece-will-always-be-my-first-love/,greekreporter.com,5,5.65257190982,56.7223141402,74606
http://matadornetwork.com/author/alicelatham/,matadornetwork.com,6,6.08876002107,74.0617481149,6302
bitesofseoul.tumblr.com,tumblr.com,8,8.57569246352,98.36519973,32
http://songsaboutspain.wordpress.com,wordpress.com,9,8.70337964659,100,31
http://elyssagarrett.com,elyssagarrett.com,0,2.46269191552,11.2511009377,8072894
