Domain,Source URL,Target URL,Anchor Text,Date Added,Last Checked,Status,Link Type,Notes
guidespot.com,http://www.guidespot.com/guides/advantages_of_using_coal,http://www.ugcenter.com/Shales/US/EagleFord/,eagle ford shale news,11/30/2011,11/30/2011,Active,Content Marketing,
acelynnierva.com,http://www.acelynnierva.com/my-thoughts/on-oil-price-hike-shale-gas-and-oil-rig.html,http://www.ugcenter.com/Shales/US/EagleFord/,eagle ford shale news,11/30/2011,11/30/2011,Active,Content Marketing,
financialbloggers.com,http://www.financialbloggers.com/the-pros-and-cons-of-investing-in-gold-584.html,http://www.ugcenter.com/Shales/US/EagleFord/,eagle ford shale texas,11/30/2011,11/30/2011,Active,Content Marketing,
greatfindsandstuff.com,http://www.greatfindsandstuff.com/2011/11/texas-oil-gas/,http://www.ugcenter.com/Shales/US/EagleFord/,eagle ford shale texas,11/30/2011,11/30/2011,Active,Content Marketing,
gettingmoneywise.com,http://www.gettingmoneywise.com/2011/10/5-reasons-amateurs-should-avoid-day.html,http://www.ugcenter.com/Shales/US/Marcellus/,marcellus shale,11/30/2011,11/30/2011,Active,Content Marketing,
theartofeverydayjoe.com,http://theartofeverydayjoe.com/2011/10/31/the-oil-offshore-industry/,http://www.ugcenter.com/Shales/US/Marcellus/,marcellus shale,11/30/2011,11/30/2011,Active,Content Marketing,
it-security-blog.com,http://www.it-security-blog.com/uncategorized/how-to-make-secure-payments-online/,http://www.ugcenter.com/Shales/US/Marcellus/,shale marcellus,11/30/2011,11/30/2011,Active,Content Marketing,
kellycampaign.com,http://www.kellycampaign.com/2011/11/natural-gas-from-marcellus-shale/,http://www.ugcenter.com/Shales/US/Marcellus/,marcellus gas,11/30/2011,11/30/2011,Active,Content Marketing,
apartmentqz11.com,http://www.apartmentqz11.com/2011/10/alternative-source-of-energy.html,http://www.ugcenter.com/Shales/US/Marcellus/,marcellus gas,11/30/2011,11/30/2011,Active,Content Marketing,
trishasthoughts.net,http://www.trishasthoughts.net/2011/11/my-bestfriends-husband-engineer.html,http://www.ugcenter.com/Shales/US/Marcellus/,marcellus drilling,11/30/2011,11/30/2011,Active,Content Marketing,
loveordained.net,http://www.loveordained.net/oil-and-gas-exploration/2011/11/01/,http://www.ugcenter.com/Shales/US/Marcellus/,marcellus drilling,11/30/2011,11/30/2011,Active,Content Marketing,
windingcreekcircle.com,http://windingcreekcircle.com/2011/10/31/job-possibilities-in-the-oil-drilling-industry/,http://www.ugcenter.com/Shales/US/Marcellus/,bakken oil companies,11/30/2011,11/30/2011,Active,Content Marketing,
aussietalks.com,http://aussietalks.com/2011/11/bakken-oil-companies.html,http://www.ugcenter.com/Shales/US/Marcellus/,bakken oil companies,11/30/2011,11/30/2011,Active,Content Marketing,
celebrific.com,http://www.celebrific.com/22389/celebrities-speak-out-on-ohio-exotic-animal-massacre/,http://www.ugcenter.com/Shales/US/Marcellus/,marcellus shale drilling,11/30/2011,11/30/2011,Active,Content Marketing,
nitasrandomthoughts.info,http://www.nitasrandomthoughts.info/2011/10/marcellus-shale-drilling-companies.html,http://www.ugcenter.com/Shales/US/Marcellus/,marcellus shale drilling,11/30/2011,11/30/2011,Active,Content Marketing,
wdwpeakseasons.com,http://www.wdwpeakseasons.com/2011/10/private-corporations-that-conduct-marcellus-shale-drilling.html,http://www.ugcenter.com/Shales/US/Marcellus/,marcellus shale drilling,11/30/2011,11/30/2011,Active,Content Marketing,
accordingtome.net,http://www.accordingtome.net/2011/11/fuel-sources.html,http://www.ugcenter.com/Shales/US/Bakken/,bakken companies,11/30/2011,11/30/2011,Active,Content Marketing,
paulandtoni.com,http://paulandtoni.com/?p=3059,http://www.ugcenter.com/Shales/US/Bakken/,bakken companies,11/30/2011,11/30/2011,Active,Content Marketing,
definitionofphilosophy.com,http://www.definitionofphilosophy.com/general/existentialism_makes_a_comeback/,http://www.ugcenter.com/Shales/US/Bakken/,bakken oil shale,11/30/2011,11/30/2011,Active,Content Marketing,
notepadcorner.com,http://www.notepadcorner.com/2011/11/oil-price-hike-oh-no-not-again.html,http://www.ugcenter.com/Shales/US/Bakken/,bakken oil shale,11/30/2011,11/30/2011,Active,Content Marketing,
himalayanexp.com,http://himalayanexp.com/?p=1207,http://www.ugcenter.com/Shales/US/Bakken/,bakken oil shale,11/30/2011,11/30/2011,Active,Content Marketing,
blogsilog.com,http://www.blogsilog.com/2011/10/bakken-oil-shale/,http://www.ugcenter.com/Shales/US/Bakken/,bakken oil shale,11/30/2011,11/30/2011,Active,Content Marketing,
bloggirl.us,http://bloggirl.us/bakken-drilling/,http://www.ugcenter.com/Shales/US/Bakken/,bakken drilling,11/30/2011,11/30/2011,Active,Content Marketing,
josiesviews.com,http://www.josiesviews.com/2011/11/unconventional-oil-production/,http://www.ugcenter.com/Shales/US/Bakken/,bakken drilling,11/30/2011,11/30/2011,Active,Content Marketing,
mbaviso.com,http://www.mbaviso.com/aggie/2011/11/16/investing-in-natural-gas/,http://www.ugcenter.com/Shales/US/EagleFord/,eagle ford shale news,11/30/2011,11/30/2011,Active,Content Marketing,
dez-myonlineworld.com,http://www.dez-myonlineworld.com/2011/11/on-bakken-oil-shale.html,http://www.ugcenter.com/Shales/US/Bakken/,bakken oil shale,11/30/2011,11/30/2011,Active,Content Marketing,
distancelearninghelpers.com,http://www.distancelearninghelpers.com/education-news/new-technology-reveals-energy-opportunities,http://www.ugcenter.com/Shales/US/Bakken/,bakken oil companies,12/31/2011,12/31/2011,Active,Content Marketing,
globalbusinesscatalog.com,http://www.globalbusinesscatalog.com/business-world/possible-requirements-for-obtaining-a-job-in-the-oil-industry,http://www.ugcenter.com/Shales/US/Bakken/,bakken oil companies,12/31/2011,12/31/2011,Active,Content Marketing,
educnews.com,http://www.educnews.com/education-news/4-non-labor-intensive-jobs-in-the-oil-industry,http://www.ugcenter.com/Shales/US/Bakken/,bakken oil companies,12/31/2011,12/31/2011,Active,Content Marketing,
law-books.org,http://www.law-books.org/law-advisor/learning-about-americas-recent-oil-shale-discovery,http://www.ugcenter.com/Shales/US/Bakken/,bakken companies,12/31/2011,12/31/2011,Active,Content Marketing,
vioxxlegalhelpcenter.org,http://www.vioxxlegalhelpcenter.org/crime-and-justice/external-factors-that-impact-oil-companies-hiring-spree,http://www.ugcenter.com/Shales/US/Bakken/,bakken companies,12/31/2011,12/31/2011,Active,Content Marketing,
top-rankschools.com,http://www.top-rankschools.com/university-life/3-unique-jobs-in-or-around-the-eagle-ford-shale,http://www.ugcenter.com/Shales/US/EagleFord/,eagle ford shale news,12/31/2011,12/31/2011,Active,Content Marketing,
continentalcapitalcorp.com,http://www.continentalcapitalcorp.com/business-titles/economic-benefits-of-eagle-ford-shale-oil,http://www.ugcenter.com/Shales/US/EagleFord/,eagle ford shale news,12/31/2011,12/31/2011,Active,Content Marketing,
goarticles.com,http://goarticles.com/article/Four-Careers-in-Alternative-Energy/5909186/,http://www.ugcenter.com/Shales/US/Marcellus/,marcellus gas,12/31/2011,12/31/2011,Active,Content Marketing,
zanschool.org,http://www.zanschool.org/school-advisory/outside-of-the-box-marketing-careers,http://www.ugcenter.com/Shales/US/Marcellus/,marcellus gas,12/31/2011,12/31/2011,Active,Content Marketing,
schooltechideas.com,http://www.schooltechideas.com/school-stories/benefits-of-pursuing-a-career-in-alternative-energy,http://www.ugcenter.com/Shales/US/Marcellus/,marcellus gas,12/31/2011,12/31/2011,Active,Content Marketing,
teaktechnologies.com,http://www.teaktechnologies.com/technology-news/marcellus-oil-and-gas-opportunities-and-benefits-in-the-us,http://www.ugcenter.com/Shales/US/Marcellus/,marcellus oil,12/31/2011,12/31/2011,Active,Content Marketing,
yourbusinessandyourlife.com,http://www.yourbusinessandyourlife.com/business-lider/offbeat-careers-in-marcellus-oil,http://www.ugcenter.com/Shales/US/Marcellus/,marcellus oil,12/31/2011,12/31/2011,Active,Content Marketing,
school-community.org,http://school-community.org/school-minute/education-and-career-opportunities-with-the-marcellus-shale,http://www.ugcenter.com/Shales/US/Marcellus/,marcellus oil,12/31/2011,12/31/2011,Active,Content Marketing,
aboutcitybusiness.com,http://www.aboutcitybusiness.com/business-news/the-case-for-offbeat-eagle-ford-shale-oil-reserves-in-america,http://www.ugcenter.com/Shales/US/EagleFord/,eagle ford shale oil,12/31/2011,12/31/2011,Active,Content Marketing,
elearninghouse.com,http://www.elearninghouse.com/learning-center/job-perks-of-working-for-oil-companies,http://www.ugcenter.com/Shales/US/EagleFord/,eagle ford shale oil,12/31/2011,12/31/2011,Active,Content Marketing,
wikilawschool.org,http://www.wikilawschool.org/low-overview/four-positions-oil-companies-are-always-looking-to-hire,http://www.ugcenter.com/Shales/US/Bakken/,bakken oil shale,12/31/2011,12/31/2011,Active,Content Marketing,
fitness-global.com,http://www.fitness-global.com/fitness-consultant/technology-the-eagle-ford-shale-and-the-texas-economy,http://www.ugcenter.com/Shales/US/EagleFord/,eagleford shale,12/31/2011,12/31/2011,Active,Content Marketing,
businessmen-service.com,http://businessmen-service.com/business-specialist/hydraulic-fracturing-technology-opens-new-oil-and-gas-reserves-in-eagle-ford-shale,http://www.ugcenter.com/Shales/US/EagleFord/,eagleford shale,12/31/2011,12/31/2011,Active,Content Marketing,
school-funding-center.com,http://www.school-funding-center.com/university-notes/horizontal-drilling-technology-and-the-eagle-ford-shale,http://www.ugcenter.com/Shales/US/EagleFord/,eagleford shale,12/31/2011,12/31/2011,Active,Content Marketing,
cyberhandrobotics.com,http://www.cyberhandrobotics.com/hardware-reviews/the-technology-of-the-drilling-process-in-the-eagle-ford-shale,http://www.ugcenter.com/Shales/US/EagleFord/,eagleford shale,12/31/2011,12/31/2011,Active,Content Marketing,
